domain,tld,ml_probability,source,is_featureless,domain_length,entropy,contains_brand,cert_is_lets_encrypt,cert_subject_has_org,is_dangerous_tld,is_legitimate_tld
weddingcufflinksuk.com,com,0.34377295,jpcert,True,22.0,3.82306798227366,0.0,1.0,0.0,False,True
anadinaik.com,com,0.34392318,jpcert,True,13.0,3.0269868333592873,0.0,1.0,0.0,False,True
gzjujin.com,com,0.3443438,certificates,True,11.0,3.277613436819116,0.0,1.0,0.0,False,True
creneau-relay.com,com,0.34518978,phishtank,True,17.0,3.4548223999466066,0.0,1.0,0.0,False,True
findazores.com,com,0.345382,certificates,True,14.0,3.6644977792004623,0.0,1.0,0.0,False,True
jiantaow.net,net,0.3456557,certificates,True,12.0,3.0849625007211556,0.0,1.0,0.0,False,True
kontakqq.com,com,0.3462775,certificates,True,12.0,3.084962500721156,0.0,1.0,0.0,False,True
netfilxco-registre.com,com,0.34724778,phishtank,True,22.0,3.7887549139935026,0.0,1.0,0.0,False,True
khachsanmayho.com,com,0.347788,jpcert,True,17.0,3.1751231351134614,0.0,1.0,0.0,False,True
hengshuidianti.com,com,0.34812605,jpcert,True,18.0,3.6835423624332306,0.0,1.0,0.0,False,True
jsszcm.com,com,0.34824553,jpcert,True,10.0,2.721928094887362,0.0,0.0,0.0,False,True
frenchkissmusic.com,com,0.34826663,certificates,True,19.0,3.536886723742167,0.0,1.0,0.0,False,True
totalfilings.com,com,0.34847936,jpcert,True,16.0,3.5,0.0,1.0,0.0,False,True
brainversion.com,com,0.34856653,jpcert,True,16.0,3.5,0.0,1.0,0.0,False,True
videospeludas.com,com,0.34877807,jpcert,True,17.0,3.6168746059562227,0.0,1.0,0.0,False,True
boerdz.com,com,0.3491892,jpcert,True,10.0,3.121928094887362,0.0,1.0,0.0,False,True
suivre-mondiai.com,com,0.3496363,phishtank,True,18.0,3.6835423624332306,0.0,1.0,0.0,False,True
navitiot.com,com,0.3499297,jpcert,True,12.0,3.084962500721156,0.0,1.0,0.0,False,True
41agenziatv.com,com,0.3507319,jpcert,True,15.0,3.773557262275185,0.0,1.0,0.0,False,True
ironheartsecurity.com,com,0.35125643,jpcert,True,21.0,3.689703732199547,0.0,1.0,0.0,False,True
tepcoco.com,com,0.35131463,certificates,True,11.0,2.5949066182439395,0.0,1.0,0.0,False,True
hongbxs.com,com,0.35146937,certificates,True,11.0,3.2776134368191165,0.0,1.0,0.0,False,True
dadablitz.com,com,0.35176855,certificates,True,13.0,3.3927474104487847,0.0,1.0,0.0,False,True
tepcoservuz.com,com,0.3523505,certificates,True,15.0,3.506890595608518,0.0,1.0,0.0,False,True
myjcb-pro.com,com,0.35248455,jpcert,True,13.0,3.238901256602631,0.0,1.0,0.0,False,True
choix-creneau.com,com,0.35270444,phishtank,True,17.0,3.5724694587701364,0.0,1.0,0.0,False,True
depot-creneau.com,com,0.35270444,phishtank,True,17.0,3.572469458770136,0.0,1.0,0.0,False,True
deliversanta.com,com,0.35327944,certificates,True,16.0,3.75,0.0,1.0,0.0,False,True
metafactcheckers.com,com,0.3538563,jpcert,True,20.0,3.384183719779189,0.0,1.0,0.0,False,True
meirangyp.com,com,0.35398245,jpcert,True,13.0,3.5465935642949384,0.0,1.0,0.0,False,True
sologamingstudio.com,com,0.35434377,jpcert,True,20.0,3.5219280948873624,0.0,1.0,0.0,False,True
qierrba.com,com,0.3549309,certificates,True,11.0,3.277613436819116,0.0,1.0,0.0,False,True
oframakeup.com,com,0.3550832,jpcert,True,14.0,3.3787834934861767,0.0,1.0,0.0,False,True
estediet.com,com,0.3560209,phishtank,True,12.0,3.0220552088742,0.0,1.0,0.0,False,True
cachureeis.com,com,0.35675213,phishtank,True,14.0,3.3248629576173574,0.0,1.0,0.0,False,True
sohu-yun.com,com,0.35680798,phishtank,True,12.0,3.2516291673878226,0.0,1.0,0.0,False,True
amazos.co,co,0.3569633,certificates,True,9.0,2.725480556997868,0.0,1.0,0.0,False,True
paquet-mondiai.com,com,0.35697374,phishtank,True,18.0,3.7254805569978675,0.0,1.0,0.0,False,True
choisir-creneau.com,com,0.35765657,phishtank,True,19.0,3.576617644908665,0.0,1.0,0.0,False,True
razorshotradiokhhr.com,com,0.35805562,jpcert,True,22.0,3.4251185503571384,0.0,1.0,0.0,False,True
kreativbooks.com,com,0.35941124,jpcert,True,16.0,3.577819531114783,0.0,1.0,0.0,False,True
seodometer.com,com,0.36019585,jpcert,True,14.0,2.9852281360342525,0.0,1.0,0.0,False,True
tepcoservuaov.com,com,0.3608814,certificates,True,17.0,3.4548223999466066,0.0,1.0,0.0,False,True
dzjutou.com,com,0.3610336,jpcert,True,11.0,3.095795255000934,0.0,1.0,0.0,False,True
mercarai.com,com,0.36104974,certificates,True,12.0,2.918295834054489,0.0,1.0,0.0,False,True
zhongfufwmcl.com,com,0.36112738,jpcert,True,16.0,3.5,0.0,0.0,0.0,False,True
lteunlocks.com,com,0.3615204,phishtank,True,14.0,3.378783493486176,0.0,1.0,0.0,False,True
westpac-security-verify.com,com,0.3635085,phishtank,True,27.0,3.958229168669879,0.0,1.0,0.0,False,True
stampconnecting.com,com,0.36474618,jpcert,True,19.0,3.4316235658474303,0.0,1.0,0.0,False,True
lixunfb.com,com,0.36544904,jpcert,True,11.0,3.459431618637298,0.0,1.0,0.0,False,True
orientalexpressfurniture.com,com,0.36605287,jpcert,True,28.0,3.807354922057604,0.0,1.0,0.0,False,True
telegracm.org,org,0.36895826,phishtank,True,13.0,3.238901256602631,0.0,1.0,0.0,False,True
0371lingte.com,com,0.36963293,jpcert,True,14.0,3.8073549220576055,0.0,1.0,0.0,False,True
jinuanyg.com,com,0.36964434,jpcert,True,12.0,3.418295834054489,0.0,1.0,0.0,False,True
0517gwjd.com,com,0.37007603,jpcert,True,12.0,3.584962500721156,0.0,0.0,0.0,False,True
qkiyg.com,com,0.3701731,jpcert,True,9.0,3.169925001442312,0.0,1.0,0.0,False,True
fedshowservice.com,com,0.37286344,jpcert,True,18.0,3.572431251322119,0.0,1.0,0.0,False,True
technomaestro.com,com,0.37406352,jpcert,True,17.0,3.337175341123077,0.0,1.0,0.0,False,True
gaitme.com,com,0.3741178,jpcert,True,10.0,3.121928094887362,0.0,1.0,0.0,False,True
go2cup.com,com,0.37448126,phishtank,True,10.0,2.9219280948873623,0.0,1.0,0.0,False,True
besthuo.com,com,0.37457764,certificates,True,11.0,3.277613436819116,0.0,1.0,0.0,False,True
jduxdou.com,com,0.37535146,certificates,True,11.0,2.9139770731827523,0.0,1.0,0.0,False,True
jhjgc.com,com,0.37546384,jpcert,True,9.0,2.725480556997868,0.0,0.0,0.0,False,True
actualisation-cartevitale.fr,fr,0.37608895,phishtank,True,28.0,3.651478922893309,0.0,1.0,0.0,False,True
satriaputra.com,com,0.37609804,certificates,True,15.0,3.32323142879762,0.0,1.0,0.0,False,True
jianlimuye.com,com,0.3768789,jpcert,True,14.0,3.521640636343319,0.0,1.0,0.0,False,True
lederpointe.com,com,0.37746286,jpcert,True,15.0,3.4565647621309536,0.0,1.0,0.0,False,True
torujazz.com,com,0.37779048,jpcert,True,12.0,3.2516291673878226,0.0,1.0,0.0,False,True
was2019.org,org,0.37786084,certificates,True,11.0,3.459431618637298,0.0,1.0,0.0,False,True
restaurantelago.com,com,0.37871492,jpcert,True,19.0,3.5766176449086653,0.0,1.0,0.0,False,True
fordsos.com,com,0.3789438,jpcert,True,11.0,2.8453509366224368,0.0,1.0,0.0,False,True
relaie-colis.com,com,0.3790293,phishtank,True,16.0,3.375,0.0,1.0,0.0,False,True
lineproblem.com,com,0.38070095,jpcert,True,15.0,3.3735572622751855,0.0,0.0,0.0,False,True
kiddybookstore.com,com,0.3809712,jpcert,True,18.0,3.503258334775645,0.0,1.0,0.0,False,True
choisir-son-locker.com,com,0.38209146,phishtank,True,22.0,3.5160276412662297,0.0,1.0,0.0,False,True
qiushengzhibo.com,com,0.38227248,jpcert,True,17.0,3.734521664779752,0.0,1.0,0.0,False,True
andreawales.com,com,0.3822745,certificates,True,15.0,3.4565647621309536,0.0,1.0,0.0,False,True
cunpinjx.com,com,0.38272905,jpcert,True,12.0,3.2516291673878226,0.0,1.0,0.0,False,True
dannynightingale.com,com,0.38278967,jpcert,True,20.0,3.6219280948873624,0.0,1.0,0.0,False,True
tepcoservmruv.com,com,0.3829829,certificates,True,17.0,3.381580488309164,0.0,1.0,0.0,False,True
libertybellesblog.com,com,0.38328797,certificates,True,21.0,3.4632805178108104,0.0,1.0,0.0,False,True
hqs68.com,com,0.3834709,phishtank,True,9.0,3.169925001442312,0.0,1.0,0.0,False,True
jnb-cad.com,com,0.38348195,jpcert,True,11.0,3.277613436819116,0.0,0.0,0.0,False,True
weiyu66.com,com,0.38435873,jpcert,True,11.0,3.277613436819116,0.0,1.0,0.0,False,True
appuwei.com,com,0.38540572,jpcert,True,11.0,3.2776134368191165,0.0,1.0,0.0,False,True
jiakao114.com,com,0.38557836,jpcert,True,13.0,3.238901256602631,0.0,1.0,0.0,False,True
apatagore.com,com,0.3862605,certificates,True,13.0,3.180832987205441,0.0,0.0,0.0,False,True
