domain,tld,ml_probability,source,features,is_dangerous_tld,has_brand,high_entropy,short_domain,entropy,domain_length,contains_brand
ilcaffetorinese.eu,eu,0.021572623,jpcert,,False,False,False,False,3.503258334775645,18.0,0.0
accoun.aabuh.cn,cn,0.4519879,jpcert,dangerous_tld,True,False,False,False,2.8729055953200557,15.0,0.0
sadaohospital.go.th,th,0.038194746,jpcert,,False,False,False,False,3.326360407952694,19.0,0.0
volez.cn,cn,0.22483964,jpcert,dangerous_tld,True,False,False,False,3.0,8.0,0.0
kuronekikuchito.icu,icu,0.38669187,certificates,dangerous_tld,True,False,False,False,3.2866294867861954,19.0,0.0
120jj.cn,cn,0.42989755,certificates,dangerous_tld,True,False,False,False,2.75,8.0,0.0
evricourier-notified.top,top,0.35177243,phishtank,dangerous_tld,True,False,False,False,3.5739348962840563,24.0,0.0
cafsrl.com.ar,ar,0.07577147,jpcert,,False,False,False,False,3.085055102756477,13.0,0.0
tceband.info,info,0.04913738,phishtank,,False,False,False,False,3.418295834054489,12.0,0.0
tanxa.cn,cn,0.28608513,jpcert,dangerous_tld,True,False,False,False,2.5,8.0,0.0
kandcrecycling.co.za,za,0.036121774,jpcert,,False,False,False,False,3.621928094887362,20.0,0.0
TiNy.Cc,Cc,0.088479675,certificates,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0
armoniaterapias.cl,cl,0.24578863,phishtank,,False,False,False,False,3.5032583347756456,18.0,0.0
inredesign.pl,pl,0.014534541,phishtank,,False,False,False,False,3.238901256602631,13.0,0.0
spoo.me,me,0.0069129393,phishtank,short,False,False,False,True,2.5216406363433186,7.0,0.0
5ikjskj7.lat,lat,0.0902174,phishtank,dangerous_tld,True,False,False,False,3.2516291673878226,12.0,0.0
login-copreverythingish.xyz,xyz,0.44659424,jpcert,"dangerous_tld,high_entropy",True,False,True,False,4.060262039120378,27.0,0.0
storetech.pe,pe,0.052338354,phishtank,,False,False,False,False,3.0220552088742,12.0,0.0
gjilan.al,al,0.04743758,jpcert,,False,False,False,False,2.725480556997868,9.0,0.0
jpmercari.org,org,0.1688831,jpcert,brand,False,True,False,False,3.334679141051595,13.0,1.0
hfsvfn.icu,icu,0.05444768,phishtank,dangerous_tld,True,False,False,False,3.121928094887362,10.0,0.0
lopezingenieria.com.ar,ar,0.08680571,phishtank,,False,False,False,False,3.572623663895164,22.0,0.0
fpt.one,one,0.004001491,phishtank,short,False,False,False,True,2.807354922057604,7.0,0.0
chrome-up.club,club,0.43032786,certificates,,False,False,False,False,3.521640636343319,14.0,0.0
iplogger.cn,cn,0.016496606,phishtank,dangerous_tld,True,False,False,False,3.277613436819116,11.0,0.0
adwz.cn,cn,0.03612824,phishtank,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0
hcimportadora.cl,cl,0.0372615,phishtank,,False,False,False,False,3.5,16.0,0.0
sumup.root.sx,sx,0.053480286,phishtank,,False,False,False,False,3.085055102756477,13.0,0.0
kuronokoyamato.top,top,0.44248194,jpcert,dangerous_tld,True,False,False,False,3.1916116417513782,18.0,0.0
wf12349.com.cn,cn,0.12483746,jpcert,dangerous_tld,True,False,False,False,3.521640636343319,14.0,0.0
blueskytaxgroup.com,com,0.42357704,certificates,high_entropy,False,False,True,False,4.03740119765411,19.0,0.0
seasidesurfshop.shop,shop,0.23775956,jpcert,,False,False,False,False,3.3414460711655214,20.0,0.0
ink-a.co.il,il,0.13943097,jpcert,,False,False,False,False,3.0957952550009344,11.0,0.0
jp-amazonid5654720.com,com,0.039412722,jpcert,high_entropy,False,False,True,False,4.095795255000932,22.0,0.0
aifulbizd.sbs,sbs,0.4778592,jpcert,dangerous_tld,True,False,False,False,3.238901256602631,13.0,0.0
d14yivgrx6.icu,icu,0.23736905,phishtank,dangerous_tld,True,False,False,False,3.6644977792004623,14.0,0.0
geof.cn,cn,0.48430756,jpcert,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0
blackcolt.cn,cn,0.031750716,certificates,dangerous_tld,True,False,False,False,3.0220552088742,12.0,0.0
imsj.cn,cn,0.045693457,jpcert,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0
corre-os.top,top,0.4107941,certificates,dangerous_tld,True,False,False,False,3.0220552088742,12.0,0.0
rqhl.cn,cn,0.24752627,phishtank,"dangerous_tld,,short",True,False,False,True,2.807354922057604,7.0,0.0
106304-coinbase.com,com,0.49543944,phishtank,brand,False,True,False,False,3.9321380397593733,19.0,1.0
