domain,source,ml_probability,dns_resolves,http_status,looks_legit,legit_indicators
zdc-jt.com,certificates,0.7783527374267578,True,503.0,,
m9uxjf.cn,jpcert,0.9141101837158203,True,503.0,,
ddujzimf.ne.pw,jpcert,0.8735328912734985,False,,,
icovalent.com,certificates,0.918627142906189,False,,,
microbecide.com,jpcert,0.8983824253082275,False,,,
aifulmn.co,jpcert,0.8231740593910217,False,,,
estafetawqa.top,jpcert,0.8965680599212646,False,,,
whatagrlwants.com,jpcert,0.8759213089942932,False,,,
ycmww.cn,jpcert,0.9856897592544556,False,,,
hitruns.com,jpcert,0.944034218788147,True,503.0,,
xzfzfssvip.com,certificates,0.9816135168075562,True,503.0,,
websitesetcmeisaimladmin.life,jpcert,0.961840033531189,False,,,
mzegzoof.com,jpcert,0.8696554899215698,False,,,
sdnydc.com,jpcert,0.9458223581314087,True,404.0,,
isrpostmm.life,phishtank,0.7346546649932861,False,,,
qdhsjdy.cn,certificates,0.8735023140907288,True,503.0,,
meikacadmy02.top,jpcert,0.9494571685791016,False,,,
columbusnebraskarealestate.com,certificates,0.7937837243080139,False,,,
waitlist-lens.com,phishtank,0.9718014001846313,False,,,
ebt.icu,phishtank,0.7786973118782043,False,,,
dongzhiabc.com,certificates,0.9352973699569702,False,,,
kuronekoyamabo.online,jpcert,0.8625388741493225,False,,,
kimbanx.com,certificates,0.9141808152198792,True,502.0,,
xy2.eu,phishtank,0.9644556045532227,True,403.0,,
vloacuecaqqw.top,jpcert,0.9177572727203369,False,,,
abbygabs.com,jpcert,0.9800949096679688,False,,,
iservdu.com,certificates,0.9779238104820251,False,,,
dmonik.com,jpcert,0.7168357372283936,False,,,
dfgamers.com,certificates,0.8049082159996033,False,,,
qqajwx.cn,jpcert,0.7840992212295532,True,503.0,,
yh2079.club,jpcert,0.9479987621307373,False,,,
dinaibg.COM,certificates,0.9581626057624817,False,,,
coverage4life.com,certificates,0.9458690285682678,False,,,
jiangyinylmzb.co,certificates,0.9511996507644653,False,,,
