domain,source,ml_probability,dns_resolves,http_status,content_length,looks_legit,legit_indicators,phish_indicators
goldengoosebeverages.com,phishtank,0.008848325349390507,True,503.0,6818,,,
ninchisho-cafe.com,jpcert,0.10363215953111649,True,404.0,18994,,,
frutty.com.br,jpcert,0.09861664474010468,True,200.0,85338,unknown,,
eriuioetrt.top,jpcert,0.1591053307056427,True,503.0,6808,,,
aaxlx.cn,phishtank,0.1375008523464203,True,503.0,6802,,,
quakelatam.com,phishtank,0.2257123589515686,False,,0,,,
royalcommunitybanks.com,phishtank,0.02281370386481285,False,,0,,,
avanprosa.com,phishtank,0.040899261832237244,True,503.0,6807,,,
nicolerapp.com,jpcert,0.02934713289141655,True,503.0,6808,,,
valerso.com,jpcert,0.20732279121875763,False,,0,,,
serveaucards.com,jpcert,0.03696838766336441,False,,0,,,
pxdesign.jp,jpcert,0.05103359743952751,True,200.0,61216,True,contact|copyright|company|お問い合わせ,
ulys-info.com,phishtank,0.14890056848526,True,,0,,,
jagtambaiti.com,jpcert,0.048819027841091156,False,,0,,,
vipfbtools.com,phishtank,0.01135197002440691,False,,0,,,
toughguydigest.com,jpcert,0.0075413319282233715,True,503.0,6812,,,
fleetwoodchicago.com,jpcert,0.04804025962948799,False,,0,,,
asklaptopfreak.com,jpcert,0.0075413319282233715,True,503.0,6812,,,
eabener.cn,jpcert,0.03364316746592522,True,403.0,4545,,,
persiadesigner.com,jpcert,0.03317056968808174,True,503.0,6812,,,
3rdstreetmarket.com,phishtank,0.054423823952674866,True,503.0,6813,,,
igotcat.com,certificates,0.26628410816192627,False,,0,,,
alegrameeldia.org,phishtank,0.04944409430027008,True,503.0,6811,,,
mercarilci.com,jpcert,0.04840480163693428,False,,0,,,
kimte.top,phishtank,0.019984442740678787,False,,0,,,
agendarconsulta.link,phishtank,0.04868744686245918,True,503.0,6814,,,
appmondialrelay.com,phishtank,0.02501543052494526,True,503.0,6813,,,
etc.onl,phishtank,0.0032354125287383795,True,503.0,6801,,,
fuegoydelicia.mx,phishtank,0.0609079971909523,False,,0,,,
radsuramerica.com,phishtank,0.029467055574059486,True,200.0,230642,True,contact|company,
pt-trackingctt.com,phishtank,0.24242772161960602,False,,0,,,
gsredu.com,certificates,0.08670138567686081,True,403.0,4545,,,
fbs.adv.br,phishtank,0.02404041960835457,False,,0,,,
foxwilmar.com,phishtank,0.022138595581054688,True,503.0,6807,,,
sh.rize.nu,jpcert,0.04013365879654884,True,503.0,6804,,,
magnoliapropertyholdings.com,phishtank,0.05587850883603096,True,503.0,6822,,,
data-okinawa.com,jpcert,0.04333644360303879,True,503.0,6810,,,
mondialrelay-programmer.com,phishtank,0.27962082624435425,True,503.0,6821,,,
yarus-tech.com,jpcert,0.1707449108362198,True,503.0,6808,,,
kamaulaw.com,jpcert,0.09024796634912491,False,,0,,,
y6956.cc,jpcert,0.28847894072532654,True,503.0,6802,,,
ptovesindo.com,phishtank,0.1620347797870636,False,,0,,,
iaygehwiwhgdud.com,jpcert,0.2157885730266571,False,,0,,,
omniahcenter.com,phishtank,0.263662189245224,True,503.0,6810,,,
cuxis1hub.com,phishtank,0.041188325732946396,True,503.0,6807,,,
forlife-co.com,jpcert,0.11103926599025726,True,200.0,26919,True,contact|copyright|company|お問い合わせ,
hedefpanel.net,phishtank,0.03389821946620941,True,503.0,6808,,,
